area,food_group,ssr_645,ssr_664
Dominican Republic,Spices,24.59058964,29.16645963
Dominican Republic,Sugars,95.42486822,333.018417
Dominican Republic,Vegetables,77.23027335,23.93665158
Ecuador,Alcohol,103.5804882,50.05477793
Ecuador,Dairy,369.9252678,221.1178416
Ecuador,Fats & Oils,69.2748626,587.9162199
Ecuador,Fruits,1359.243835,603.2531541
Ecuador,Grains (Starchy staples),311.5195305,695.9417838
Ecuador,"Legumes, Nuts & Seeds",9.895351448,35.60655738
Ecuador,Meats,292.0334113,434.6341463
Ecuador,Miscellaneous,,
Ecuador,Spices,34.02915068,94.47466667
Ecuador,Sugars,55.28932527,195.2576413
Ecuador,Vegetables,65.85683867,20.42746114
Egypt,Alcohol,5.100884342,2.008438819
Egypt,Dairy,156.0529983,90.1151117
Egypt,Fats & Oils,7.015015019,58.60106024
Egypt,Fruits,587.8181383,233.9782718
Egypt,Grains (Starchy staples),496.0783681,1420.844539
Egypt,"Legumes, Nuts & Seeds",15.08692589,44.14676414
Egypt,Meats,125.6999952,143.7603135
Egypt,Miscellaneous,,
Egypt,Spices,2.804695339,4.241908007
Egypt,Sugars,178.0167032,302.3453648
Egypt,Vegetables,335.6590232,91.32381119
El Salvador,Alcohol,72.32263341,50.37313433
El Salvador,Dairy,206.3428355,116.6749614
El Salvador,Fats & Oils,1.151741575,9.400826446
El Salvador,Fruits,107.3604386,36.00502513
El Salvador,Grains (Starchy staples),264.1398156,738.1444258
El Salvador,"Legumes, Nuts & Seeds",59.05673293,165.2877446
El Salvador,Meats,110.9174968,136.5994587
El Salvador,Miscellaneous,,
El Salvador,Spices,33.67593647,31.12743363
El Salvador,Sugars,119.4314501,423.783055
El Salvador,Vegetables,51.63002767,13.87722529
Estonia,Alcohol,323.7032877,296.31
